District,Latitude,Longitude,Year,Yearly_cases,DENV1 ,DENV2,DENV3,DENV4,X11,X12,X13,X14,X15,X16,X17,X18,X19,X110,X111,X112,X113,X114,X115,X116,X117,X118,X119,X120,X121,,,,,,,,
Jhalokathi,22.5721,90.187,2018,4,1.92,1.64,1.24,0,25.27,6.43,37.48,77.69,3169.34,0.03,321.28,709914,21.8,73.9,1.1,4.17,91.8,62.472432,406.5677478,0.88,4.7,48,738.7519126,54.0723008,522.2567969,,,,,,,,
Jhenaidah,23.545,89.1726,2018,7,3.36,2.87,2.17,0,25.12,5.68,38.01,75.19,1935.35,0.06,321.28,1842573,21.8,73.9,1.1,3.74,91.8,162.146424,1055.241557,0.88,4.7,48,1956.105656,143.1754445,1382.858653,,,,,,,,
Joypurhat,25.0947,89.0945,2018,2,0.96,0.82,0.62,0,24.96,5.78,35.55,75.5,1919.53,0.06,321.28,950440,21.8,73.9,1.1,3.76,91.8,83.63872,544.316988,0.88,4.7,48,960.2497231,70.28463952,678.8435144,,,,,,,,
Khagrachhari,23.1322,91.949,2018,1,0.48,0.41,0.31,0,24.24,6.3,38.42,82.81,4044.73,0.05,321.28,638967,21.8,73.9,1.1,4.47,91.8,56.229096,365.9364009,0.88,4.7,48,2855.544398,209.0090773,2018.712162,,,,,,,,
Khulna,22.6738,89.3967,2018,4,1.92,1.64,1.24,0,25.56,6.12,38.69,74.81,2278.12,0.16,321.28,2407679,21.8,73.9,1.1,3.74,91.8,211.875752,1378.877763,0.88,4.7,48,3625.143171,265.3391871,2562.775986,,,,,,,,
Kishorganj,24.426,90.9821,2018,14,6.72,5.74,4.34,0,24.77,6.61,34.99,79.94,3723.05,0.02,321.28,3028706,21.8,73.9,1.1,3.87,91.8,266.526128,1734.539926,0.88,4.7,48,2564.920364,187.7371051,1813.257023,,,,,,,,
Kurigram,25.8072,89.6295,2018,0,0,0,0,0,24.83,5.26,36.66,73.75,2257.03,0.05,321.28,2150974,21.8,73.9,1.1,3.87,91.8,189.285712,1231.86281,0.88,4.7,48,2275.723926,166.5696244,1608.811115,,,,,,,,
Kushtia,23.8907,89.1099,2018,24,11.52,9.84,7.44,0,25.05,5.99,36.82,75.44,1993.36,0.05,321.28,2023657,21.8,73.9,1.1,3.74,91.8,178.081816,1158.948364,0.88,4.7,48,1614.728397,118.1886342,1141.523787,,,,,,,,
Lakshmipur,22.9447,90.8282,2018,0,0,0,0,0,25.12,7.76,35.1,80,3258.98,0.05,321.28,1797761,21.8,73.9,1.1,4.47,91.8,158.202968,1029.577725,0.88,4.7,48,1243.732495,91.03391335,879.250176,,,,,,,,
Lalmonirhat,25.9923,89.2847,2018,0,0,0,0,0,24.83,5.26,36.66,73.75,2257.03,0.05,321.28,1305248,21.8,73.9,1.1,3.87,91.8,114.861824,747.5155296,0.88,4.7,48,1274.913778,93.31620007,901.2936204,,,,,,,,
